First name,Last name,Uni ID,Institution,Department,Email address,Groups,Assignment: Assignment 1 (SQL): Marks and Feedback (Real),Assignment: Assignment 2 (Database Theory): Marks and Feedback (Real),Quiz: NoSQL Test (Real),Total marks for quizzes (Real),Lab activities (Lab 1-8) (Real),Final Exam (Real),"Quiz: Quiz for Week 2 (deadline: 11:59pm, Aug 1, Tuesday) (Real)","Quiz: Quiz for Week 3 (deadline 23:59, August 8, Tuesday) (Real)","Quiz: Quiz for Week 4 (deadline: 11:59pm, August 15, Tuesday) (Real)","Quiz: Quiz for Week 5 (deadline: 11:59pm, 22 August, Tuesday) (Real)","Quiz: Quiz for Week 6 (deadline: 11:59pm, 29 August, Tuesday) (Real)","Quiz: Quiz for Week 7 (deadline: 11:59pm, 19 September, Tuesday) (Real)","Quiz: Quiz for Week 8 (deadline 11:59pm, 26 September, Tuesday) (Real)","Quiz: Quiz for Week 9 (deadline: 23:59, 3 October, Tuesday) (Real)","Quiz: Quiz for Week 10 (deadline: 11:59pm, October 10, Tuesday) (Real)","Quiz: Quiz for Week 11 (deadline: 11:59pm, 17 October, Tuesday) (Real)",Attendance: Lab Engagement (Real),Attendance: Lab 8 Engagement (Real),Quiz: DA/PX Exam (Real),Course total (Real),Last downloaded from this course
EGHKHI,LSPCHV,u0000001,,,u0000001@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),15.7,8.3,3.1,3,2,31.7,0.4,0.6,0.4,0.1,0.5,0.4,-,0.4,0.4,0.5,55.2,-,-,63.1,1710372712
KKGAKG,ZDWOXE,u0000002,,,u0000002@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),13.9,9.6,2.9,3.4,2.2,49.9,0.1,0.6,0.6,0.6,0.5,0.3,0.4,0.5,0.6,0.6,95.2,-,-,80.9,1710372712
FIVRTX,YMHFWT,u0000003,,,u0000003@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (02) Mon Oct 16 12:00 - 14:00 (HN 1.24),18.2,12.2,4.1,3.3,2.3,37.4,0.4,0.6,0.4,0.5,0.5,0.4,0.5,0.5,0.3,0.5,88.7,-,-,73.1,1710372712
KZBVYR,KYTCKJ,u0000004,,,u0000004@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),21.2,13.4,3.7,3,2.2,40.2,0.3,0.6,0.5,0.4,0.6,0.4,0.6,0.6,0.6,0.5,75.9,-,-,90.6,1710372712
WDPRTF,PHYQSN,u0000005,,,u0000005@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,11.1,10.8,3.9,3.2,1.6,-,0.6,0.6,0.5,0.4,0.5,0.6,-,0.4,-,-,38.9,-,33.7,30.6,1710372713
KLWABJ,LFKIWD,u0000006,,,u0000006@anu.edu.au,[MyTT] ComA/01 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20,12.4,4.7,2.8,0.5,35.2,0.3,0.6,0.3,0.1,-,0.4,0.5,-,0.3,0.5,13.5,-,-,71.4,1710372713
BNLKFJ,ZMRDHB,u0000007,,,u0000007@anu.edu.au,[MyTT] ComA/02 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),12.1,4.9,1.5,2.5,2.1,26.9,0.3,0.5,-,0.5,-,-,0.4,0.4,0.4,-,96.5,-,-,49.1,1710372713
OYPAML,UQGXDI,u0000008,,,u0000008@anu.edu.au,[MyTT] ComA/10 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116);Supplementary and Deferred Exam;Remote,21.9,14.8,3.8,3.3,2,-,0.5,0.6,0.3,0.1,0.6,0.4,0.5,0.5,0.5,0.5,110.6,101.8,44.2,48.3,1710372713
MPZPUQ,RZFUSG,u0000009,,,u0000009@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14,10.8,2.6,2.9,2.1,34.5,0.4,0.4,0.5,0.3,0.5,0.4,0.6,0.5,0.6,0.5,94.8,-,-,67.4,1710372713
HGVCLL,ZUQFYJ,u0000010,,,u0000010@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),8.5,11.3,2.5,2.9,2.3,28.8,-,0.6,0.2,0.4,0.5,0.3,0.5,0.4,0.2,0.6,71.9,-,-,54.3,1710372713
