First name,Last name,Uni ID,Email address,Groups,Course total (Real),Last downloaded from this course,Assignment: Assessment 1 ,Assignment: Assessment 2 ,Assignment: Assessment 3 ,Assignment: Exam 
u,ht,u4122719,u4122719@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),65.34700000000001,0,78.24,69.31,45.03,69.31
h,nc,u2242988,u2242988@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),68.993,0,79.44,71.81,71.81,64.65
c,re,u5636436,u5636436@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),65.563,0,63.99,66.19,77.88,60.7
u,fd,u1937682,u1937682@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),81.67099999999999,0,65.52,76.2,68.17,92.49
w,kp,u1696822,u1696822@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),67.75,0,91.3,51.3,51.3,76.2
o,wr,u5018642,u5018642@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),72.25399999999999,0,71.27,51.3,78.66,78.27
d,lz,u9643996,u9643996@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),65.08699999999999,0,62.26,69.41,59.27,66.25
o,oo,u3585399,u3585399@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),80.525,0,78.9,76.2,91.3,78.27
m,wy,u2879158,u2879158@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),84.494,0,76.24,68.17,87.93,91.3
c,pp,u5163588,u5163588@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),66.76,0,70.68,86.12,80.79,52.62
